id,field_id,data,time,date,,Value,Probability,Cumulative
1,1,1390,7:00,01/01/2021,,1455,1%,0
2,1,1440,8:00,01/01/2021,,1450,2%,0.01
3,1,1440,9:00,01/01/2021,,1445,3%,0.02
4,1,1440,10:00,01/01/2021,,1390,44%,0.06
5,1,1440,11:00,01/01/2021,,1440,44%,0.5
6,1,1440,12:00,01/01/2021,,1395,3%,0.94
7,1,1440,13:00,01/01/2021,,1385,2%,0.97
8,1,1440,14:00,01/01/2021,,1380,1%,0.99
9,1,1390,15:00,01/01/2021,,,,
10,1,1395,16:00,01/01/2021,,,,
11,1,1440,17:00,01/01/2021,,,,
12,1,1440,18:00,01/01/2021,,,,
13,1,1440,19:00,01/01/2021,,,,
14,1,1440,20:00,01/01/2021,,,,
15,1,1440,21:00,01/01/2021,,,,
16,1,1395,22:00,01/01/2021,,,,
17,1,1440,23:00,01/01/2021,,,,
18,1,1390,0:00,01/02/2021,,,,
19,1,1440,1:00,01/02/2021,,,,
20,1,1390,2:00,01/02/2021,,,,
21,1,1390,3:00,01/02/2021,,,,
22,1,1390,4:00,01/02/2021,,,,
23,1,1390,5:00,01/02/2021,,,,
24,1,1390,6:00,01/02/2021,,,,
25,1,1440,7:00,01/02/2021,,,,
26,1,1440,8:00,01/02/2021,,,,
27,1,1390,9:00,01/02/2021,,,,
28,1,1390,10:00,01/02/2021,,,,
29,1,1390,11:00,01/02/2021,,,,
30,1,1440,12:00,01/02/2021,,,,
31,1,1440,13:00,01/02/2021,,,,
32,1,1390,14:00,01/02/2021,,,,
33,1,1440,15:00,01/02/2021,,,,
34,1,1440,16:00,01/02/2021,,,,
35,1,1390,17:00,01/02/2021,,,,
36,1,1440,18:00,01/02/2021,,,,
37,1,1390,19:00,01/02/2021,,,,
38,1,1440,20:00,01/02/2021,,,,
39,1,1445,21:00,01/02/2021,,,,
40,1,1440,22:00,01/02/2021,,,,
41,1,1440,23:00,01/02/2021,,,,
42,1,1440,0:00,01/03/2021,,,,
43,1,1440,1:00,01/03/2021,,,,
44,1,1390,2:00,01/03/2021,,,,
45,1,1445,3:00,01/03/2021,,,,
46,1,1390,4:00,01/03/2021,,,,
47,1,1440,5:00,01/03/2021,,,,
48,1,1390,6:00,01/03/2021,,,,
49,1,1440,7:00,01/03/2021,,,,
50,1,1390,8:00,01/03/2021,,,,
51,1,1390,9:00,01/03/2021,,,,
52,1,1390,10:00,01/03/2021,,,,
53,1,1440,11:00,01/03/2021,,,,
54,1,1390,12:00,01/03/2021,,,,
55,1,1390,13:00,01/03/2021,,,,
56,1,1385,14:00,01/03/2021,,,,
57,1,1440,15:00,01/03/2021,,,,
58,1,1390,16:00,01/03/2021,,,,
59,1,1440,17:00,01/03/2021,,,,
60,1,1385,18:00,01/03/2021,,,,
61,1,1390,19:00,01/03/2021,,,,
62,1,1440,20:00,01/03/2021,,,,
63,1,1390,21:00,01/03/2021,,,,
64,1,1440,22:00,01/03/2021,,,,
65,1,1390,23:00,01/03/2021,,,,
66,1,1440,0:00,01/04/2021,,,,
67,1,1440,1:00,01/04/2021,,,,
68,1,1390,2:00,01/04/2021,,,,
69,1,1390,3:00,01/04/2021,,,,
70,1,1390,4:00,01/04/2021,,,,
71,1,1390,5:00,01/04/2021,,,,
72,1,1390,6:00,01/04/2021,,,,
73,1,1390,7:00,01/04/2021,,,,
74,1,1385,8:00,01/04/2021,,,,
75,1,1445,9:00,01/04/2021,,,,
76,1,1440,10:00,01/04/2021,,,,
77,1,1440,11:00,01/04/2021,,,,
78,1,1390,12:00,01/04/2021,,,,
79,1,1390,13:00,01/04/2021,,,,
80,1,1440,14:00,01/04/2021,,,,
81,1,1440,15:00,01/04/2021,,,,
82,1,1445,16:00,01/04/2021,,,,
83,1,1390,17:00,01/04/2021,,,,
84,1,1395,18:00,01/04/2021,,,,
85,1,1390,19:00,01/04/2021,,,,
86,1,1390,20:00,01/04/2021,,,,
87,1,1440,21:00,01/04/2021,,,,
88,1,1440,22:00,01/04/2021,,,,
89,1,1390,23:00,01/04/2021,,,,
90,1,1440,0:00,01/05/2021,,,,
91,1,1390,1:00,01/05/2021,,,,
92,1,1390,2:00,01/05/2021,,,,
93,1,1440,3:00,01/05/2021,,,,
94,1,1440,4:00,01/05/2021,,,,
95,1,1390,5:00,01/05/2021,,,,
96,1,1390,6:00,01/05/2021,,,,
97,1,1390,7:00,01/05/2021,,,,
98,1,1390,8:00,01/05/2021,,,,
99,1,1450,9:00,01/05/2021,,,,
100,1,1440,10:00,01/05/2021,,,,
101,1,1395,11:00,01/05/2021,,,,
102,1,1440,12:00,01/05/2021,,,,
103,1,1440,13:00,01/05/2021,,,,
104,1,1390,14:00,01/05/2021,,,,
105,1,1440,15:00,01/05/2021,,,,
106,1,1440,16:00,01/05/2021,,,,
107,1,1440,17:00,01/05/2021,,,,
108,1,1390,18:00,01/05/2021,,,,
109,1,1390,19:00,01/05/2021,,,,
110,1,1390,20:00,01/05/2021,,,,
111,1,1440,21:00,01/05/2021,,,,
112,1,1440,22:00,01/05/2021,,,,
113,1,1440,23:00,01/05/2021,,,,
114,1,1440,0:00,01/06/2021,,,,
115,1,1395,1:00,01/06/2021,,,,
116,1,1440,2:00,01/06/2021,,,,
117,1,1390,3:00,01/06/2021,,,,
118,1,1390,4:00,01/06/2021,,,,
119,1,1445,5:00,01/06/2021,,,,
120,1,1390,6:00,01/06/2021,,,,
121,1,1440,7:00,01/06/2021,,,,
122,1,1440,8:00,01/06/2021,,,,
123,1,1390,9:00,01/06/2021,,,,
124,1,1440,10:00,01/06/2021,,,,
125,1,1440,11:00,01/06/2021,,,,
126,1,1390,12:00,01/06/2021,,,,
127,1,1390,13:00,01/06/2021,,,,
128,1,1390,14:00,01/06/2021,,,,
129,1,1440,15:00,01/06/2021,,,,
130,1,1390,16:00,01/06/2021,,,,
131,1,1440,17:00,01/06/2021,,,,
132,1,1390,18:00,01/06/2021,,,,
133,1,1390,19:00,01/06/2021,,,,
134,1,1390,20:00,01/06/2021,,,,
135,1,1440,21:00,01/06/2021,,,,
136,1,1440,22:00,01/06/2021,,,,
137,1,1390,23:00,01/06/2021,,,,
138,1,1440,0:00,01/07/2021,,,,
139,1,1390,1:00,01/07/2021,,,,
140,1,1440,2:00,01/07/2021,,,,
141,1,1440,3:00,01/07/2021,,,,
142,1,1440,4:00,01/07/2021,,,,
143,1,1440,5:00,01/07/2021,,,,
144,1,1440,6:00,01/07/2021,,,,
145,1,1390,7:00,01/07/2021,,,,
146,1,1390,8:00,01/07/2021,,,,
147,1,1440,9:00,01/07/2021,,,,
148,1,1440,10:00,01/07/2021,,,,
149,1,1395,11:00,01/07/2021,,,,
150,1,1390,12:00,01/07/2021,,,,
151,1,1440,13:00,01/07/2021,,,,
152,1,1440,14:00,01/07/2021,,,,
153,1,1440,15:00,01/07/2021,,,,
154,1,1440,16:00,01/07/2021,,,,
155,1,1390,17:00,01/07/2021,,,,
156,1,1390,18:00,01/07/2021,,,,
157,1,1390,19:00,01/07/2021,,,,
158,1,1440,20:00,01/07/2021,,,,
159,1,1440,21:00,01/07/2021,,,,
160,1,1390,22:00,01/07/2021,,,,
161,1,1385,23:00,01/07/2021,,,,
162,1,1445,0:00,01/08/2021,,,,
163,1,1390,1:00,01/08/2021,,,,
164,1,1385,2:00,01/08/2021,,,,
165,1,1440,3:00,01/08/2021,,,,
166,1,1390,4:00,01/08/2021,,,,
167,1,1390,5:00,01/08/2021,,,,
168,1,1440,6:00,01/08/2021,,,,
169,1,1440,7:00,01/08/2021,,,,
170,1,1390,8:00,01/08/2021,,,,
171,1,1440,9:00,01/08/2021,,,,
172,1,1390,10:00,01/08/2021,,,,
173,1,1390,11:00,01/08/2021,,,,
174,1,1390,12:00,01/08/2021,,,,
175,1,1390,13:00,01/08/2021,,,,
176,1,1440,14:00,01/08/2021,,,,
177,1,1390,15:00,01/08/2021,,,,
178,1,1440,16:00,01/08/2021,,,,
179,1,1390,17:00,01/08/2021,,,,
180,1,1395,18:00,01/08/2021,,,,
181,1,1390,19:00,01/08/2021,,,,
182,1,1440,20:00,01/08/2021,,,,
183,1,1440,21:00,01/08/2021,,,,
184,1,1440,22:00,01/08/2021,,,,
185,1,1390,23:00,01/08/2021,,,,
186,1,1390,0:00,01/09/2021,,,,
187,1,1440,1:00,01/09/2021,,,,
188,1,1440,2:00,01/09/2021,,,,
189,1,1395,3:00,01/09/2021,,,,
190,1,1440,4:00,01/09/2021,,,,
191,1,1390,5:00,01/09/2021,,,,
192,1,1390,6:00,01/09/2021,,,,
193,1,1390,7:00,01/09/2021,,,,
194,1,1440,8:00,01/09/2021,,,,
195,1,1440,9:00,01/09/2021,,,,
196,1,1390,10:00,01/09/2021,,,,
197,1,1440,11:00,01/09/2021,,,,
198,1,1395,12:00,01/09/2021,,,,
199,1,1440,13:00,01/09/2021,,,,
200,1,1395,14:00,01/09/2021,,,,
201,1,1445,15:00,01/09/2021,,,,
202,1,1440,16:00,01/09/2021,,,,
203,1,1440,17:00,01/09/2021,,,,
204,1,1390,18:00,01/09/2021,,,,
205,1,1390,19:00,01/09/2021,,,,
206,1,1440,20:00,01/09/2021,,,,
207,1,1390,21:00,01/09/2021,,,,
208,1,1440,22:00,01/09/2021,,,,
209,1,1390,23:00,01/09/2021,,,,
210,1,1390,0:00,01/10/2021,,,,
211,1,1455,1:00,01/10/2021,,,,
212,1,1390,2:00,01/10/2021,,,,
213,1,1440,3:00,01/10/2021,,,,
214,1,1440,4:00,01/10/2021,,,,
215,1,1440,5:00,01/10/2021,,,,
216,1,1440,6:00,01/10/2021,,,,
217,1,1390,7:00,01/10/2021,,,,
218,1,1440,8:00,01/10/2021,,,,
219,1,1390,9:00,01/10/2021,,,,
220,1,1440,10:00,01/10/2021,,,,
221,1,1440,11:00,01/10/2021,,,,
222,1,1440,12:00,01/10/2021,,,,
223,1,1440,13:00,01/10/2021,,,,
224,1,1390,14:00,01/10/2021,,,,
225,1,1390,15:00,01/10/2021,,,,
226,1,1390,16:00,01/10/2021,,,,
227,1,1440,17:00,01/10/2021,,,,
228,1,1390,18:00,01/10/2021,,,,
229,1,1440,19:00,01/10/2021,,,,
230,1,1395,20:00,01/10/2021,,,,
231,1,1440,21:00,01/10/2021,,,,
232,1,1390,22:00,01/10/2021,,,,
233,1,1440,23:00,01/10/2021,,,,
234,1,1390,0:00,01/11/2021,,,,
235,1,1390,1:00,01/11/2021,,,,
236,1,1440,2:00,01/11/2021,,,,
237,1,1445,3:00,01/11/2021,,,,
238,1,1440,4:00,01/11/2021,,,,
239,1,1450,5:00,01/11/2021,,,,
240,1,1390,6:00,01/11/2021,,,,
241,1,1390,7:00,01/11/2021,,,,
242,1,1390,8:00,01/11/2021,,,,
243,1,1395,9:00,01/11/2021,,,,
244,1,1440,10:00,01/11/2021,,,,
245,1,1380,11:00,01/11/2021,,,,
246,1,1440,12:00,01/11/2021,,,,
247,1,1440,13:00,01/11/2021,,,,
248,1,1440,14:00,01/11/2021,,,,
249,1,1440,15:00,01/11/2021,,,,
250,1,1390,16:00,01/11/2021,,,,
251,1,1395,17:00,01/11/2021,,,,
252,1,1390,18:00,01/11/2021,,,,
253,1,1390,19:00,01/11/2021,,,,
254,1,1390,20:00,01/11/2021,,,,
255,1,1455,21:00,01/11/2021,,,,
256,1,1440,22:00,01/11/2021,,,,
257,1,1440,23:00,01/11/2021,,,,
258,1,1440,0:00,01/12/2021,,,,
259,1,1390,1:00,01/12/2021,,,,
260,1,1440,2:00,01/12/2021,,,,
261,1,1390,3:00,01/12/2021,,,,
262,1,1440,4:00,01/12/2021,,,,
263,1,1390,5:00,01/12/2021,,,,
264,1,1440,6:00,01/12/2021,,,,
265,1,1440,7:00,01/12/2021,,,,
